n_neighbors,n_components,min_dist,n_clusters,embedding_model,coherence,diversity,silhouette,mean_score
10,5,0.1,5,neuralmind/bert-base-portuguese-cased,0.4938438371196357,0.7,0.3301127851009369,0.5079855407401909
10,5,0.1,10,paraphrase-MiniLM-L6-v2,0.5143925317854091,0.67,0.2306729406118393,0.4716884907990828
10,5,0.1,10,neuralmind/bert-base-portuguese-cased,0.5121574504838742,0.705,0.30110689997673035,0.5060881168202015
10,5,0.1,20,paraphrase-MiniLM-L6-v2,0.4744199278884021,0.64,0.20085947215557098,0.4384264666813244
10,5,0.1,20,neuralmind/bert-base-portuguese-cased,0.5145714255780599,0.735,0.2911056578159332,0.5135590277979977
10,5,0.1,30,paraphrase-MiniLM-L6-v2,0.48439078855930523,0.675,0.19484682381153107,0.4514125374569455
10,5,0.1,30,neuralmind/bert-base-portuguese-cased,0.5388386709674219,0.7933333333333333,0.28974443674087524,0.5406388136805435
10,5,0.1,50,paraphrase-MiniLM-L6-v2,0.46988422948141223,0.815,0.2462010383605957,0.510361755947336
10,5,0.1,50,neuralmind/bert-base-portuguese-cased,0.0,0.814,0.27552321553230286,0.3631744051774343
10,5,0.5,2,paraphrase-MiniLM-L6-v2,0.37744445787430636,0.75,0.31782883405685425,0.48175776397705355
10,5,0.5,2,neuralmind/bert-base-portuguese-cased,0.4585507552404387,0.875,0.5430611371994019,0.6255372974799468
10,5,0.5,3,paraphrase-MiniLM-L6-v2,0.40001370550821846,0.6833333333333333,0.27346527576446533,0.45227077153533907
10,5,0.5,3,neuralmind/bert-base-portuguese-cased,0.4686376722488697,0.8166666666666667,0.3258028030395508,0.537035713985029
10,5,0.5,4,paraphrase-MiniLM-L6-v2,0.43788838948941,0.5625,0.18947531282901764,0.3966212341061426
10,5,0.5,4,neuralmind/bert-base-portuguese-cased,0.5245201422753369,0.75,0.2598631978034973,0.5114611133596114
10,5,0.5,5,paraphrase-MiniLM-L6-v2,0.4511645353012799,0.57,0.16709686815738678,0.39608713448622224
10,5,0.5,5,neuralmind/bert-base-portuguese-cased,0.47670591735937967,0.73,0.34525585174560547,0.5173205897016617
10,5,0.5,10,paraphrase-MiniLM-L6-v2,0.46095535498264334,0.545,0.21640987694263458,0.407455077308426
10,5,0.5,10,neuralmind/bert-base-portuguese-cased,0.5071039906847804,0.68,0.25450682640075684,0.4805369390285124
10,5,0.5,20,paraphrase-MiniLM-L6-v2,0.46076934168876865,0.5875,0.2028670608997345,0.41704546752950106
10,5,0.5,20,neuralmind/bert-base-portuguese-cased,0.5133227279243286,0.7225,0.2513672113418579,0.4957299797553955
10,5,0.5,30,paraphrase-MiniLM-L6-v2,0.47617843532742693,0.6716666666666666,0.14571039378643036,0.43118516526017464
10,5,0.5,30,neuralmind/bert-base-portuguese-cased,0.5348163715150727,0.7533333333333333,0.23179060220718384,0.50664676901853
10,5,0.5,50,paraphrase-MiniLM-L6-v2,0.44946617155283375,0.801,0.13214948773384094,0.4608718864288916
10,5,0.5,50,neuralmind/bert-base-portuguese-cased,0.0,0.795,0.19786377251148224,0.3309545908371608
10,10,0.0,2,paraphrase-MiniLM-L6-v2,0.42854710772683896,0.8,0.09155777841806412,0.44003496204830106
10,10,0.0,2,neuralmind/bert-base-portuguese-cased,0.4454222793028948,0.875,0.6616680026054382,0.660696760636111
10,10,0.0,3,paraphrase-MiniLM-L6-v2,0.447102349628953,0.9,0.0928632915019989,0.4799885470436506
10,10,0.0,3,neuralmind/bert-base-portuguese-cased,0.4322722557652945,0.8166666666666667,0.4642864763736725,0.5710751329352112
10,10,0.0,4,paraphrase-MiniLM-L6-v2,0.4552996640752444,0.9,0.10385814309120178,0.4863859357221487
10,10,0.0,4,neuralmind/bert-base-portuguese-cased,0.4564604115882161,0.75,0.4185524880886078,0.5416709665589413
10,10,0.0,5,paraphrase-MiniLM-L6-v2,0.4747096493282978,0.69,0.2766498923301697,0.4804531805528225
10,10,0.0,5,neuralmind/bert-base-portuguese-cased,0.47951370722860254,0.75,0.4068554639816284,0.5454563904034103
10,10,0.0,10,paraphrase-MiniLM-L6-v2,0.4931995583939173,0.72,0.2396262288093567,0.4842752624010913
10,10,0.0,10,neuralmind/bert-base-portuguese-cased,0.534734569757668,0.725,0.24883250892162323,0.5028556928930971
10,10,0.0,20,paraphrase-MiniLM-L6-v2,0.4800952431403006,0.7025,0.28548216819763184,0.48935913711264417
10,10,0.0,20,neuralmind/bert-base-portuguese-cased,0.5271220587925292,0.7225,0.32538190484046936,0.5250013212109995
10,10,0.0,30,paraphrase-MiniLM-L6-v2,0.5026187889048012,0.7166666666666667,0.2729475796222687,0.4974110117312455
10,10,0.0,30,neuralmind/bert-base-portuguese-cased,0.5355457233385637,0.8,0.3236910104751587,0.5530789112712408
10,10,0.0,50,paraphrase-MiniLM-L6-v2,0.45815249347315645,0.806,0.25603508949279785,0.5067291943219848
10,10,0.0,50,neuralmind/bert-base-portuguese-cased,0.0,0.826,0.2736910283565521,0.3665636761188507
10,10,0.1,2,paraphrase-MiniLM-L6-v2,0.3690992631307939,1.0,0.8290428519248962,0.7327140383518967
10,10,0.1,2,neuralmind/bert-base-portuguese-cased,0.4454222793028948,0.875,0.6364970207214355,0.6523064333414434
10,10,0.1,3,paraphrase-MiniLM-L6-v2,0.43480696524045,0.9,0.12438847869634628,0.48639848131226543
10,10,0.1,3,neuralmind/bert-base-portuguese-cased,0.43394965383715584,0.8,0.44306525588035583,0.5590049699058373
10,10,0.1,4,paraphrase-MiniLM-L6-v2,0.4531041114796717,0.775,0.27669212222099304,0.5015987445668882
10,10,0.1,4,neuralmind/bert-base-portuguese-cased,0.45009099575680844,0.7625,0.40590009093284607,0.5394970288965515
10,10,0.1,5,paraphrase-MiniLM-L6-v2,0.47999400047157115,0.7,0.2875720262527466,0.4891886755747725
10,10,0.1,5,neuralmind/bert-base-portuguese-cased,0.46678039298183116,0.75,0.392831414937973,0.5365372693066014
10,10,0.1,10,paraphrase-MiniLM-L6-v2,0.4552830966041725,0.635,0.2307901233434677,0.44035773998254674
10,10,0.1,10,neuralmind/bert-base-portuguese-cased,0.5378820053105632,0.725,0.31144726276397705,0.5247764226915134
10,10,0.1,20,paraphrase-MiniLM-L6-v2,0.4747494585593149,0.6575,0.21643613278865814,0.44956186378265767
10,10,0.1,20,neuralmind/bert-base-portuguese-cased,0.5193997412033633,0.7275,0.289398193359375,0.5120993115209128
10,10,0.1,30,paraphrase-MiniLM-L6-v2,0.4820982217294793,0.7216666666666667,0.2388683259487152,0.48087773811495377
10,10,0.1,30,neuralmind/bert-base-portuguese-cased,0.0,0.7416666666666667,0.23551951348781586,0.32572872671816083
10,10,0.1,50,paraphrase-MiniLM-L6-v2,0.47103346053213885,0.806,0.26552435755729675,0.5141859393631453
10,10,0.1,50,neuralmind/bert-base-portuguese-cased,0.5575661102204986,0.827,0.22681085765361786,0.5371256559580387
10,10,0.5,2,paraphrase-MiniLM-L6-v2,0.4285471077268389,0.8,0.18903857469558716,0.47252856080747535
10,10,0.5,2,neuralmind/bert-base-portuguese-cased,0.4585507552404387,0.875,0.5417801141738892,0.6251102898047759
10,10,0.5,3,paraphrase-MiniLM-L6-v2,0.4356429665571753,0.7166666666666667,0.32370251417160034,0.4920040491318141
10,10,0.5,3,neuralmind/bert-base-portuguese-cased,0.5228030644550458,0.7666666666666667,0.31177517771720886,0.5337483029463072
10,10,0.5,4,paraphrase-MiniLM-L6-v2,0.44644715022598336,0.6375,0.2911725342273712,0.4583732281511182
10,10,0.5,4,neuralmind/bert-base-portuguese-cased,0.48122370282931964,0.7625,0.3408512473106384,0.5281916500466527
10,10,0.5,5,paraphrase-MiniLM-L6-v2,0.4552776406018567,0.57,0.2310149222612381,0.41876418762103157
10,10,0.5,5,neuralmind/bert-base-portuguese-cased,0.4838074431272147,0.73,0.3335583209991455,0.51578858804212
10,10,0.5,10,paraphrase-MiniLM-L6-v2,0.488680691022099,0.545,0.20473569631576538,0.4128054624459548
10,10,0.5,10,neuralmind/bert-base-portuguese-cased,0.5037832793292992,0.69,0.24741245806217194,0.48039857913049033
10,10,0.5,20,paraphrase-MiniLM-L6-v2,0.4827799767411182,0.575,0.20899657905101776,0.422258851930712
10,10,0.5,20,neuralmind/bert-base-portuguese-cased,0.5229459854030609,0.7125,0.23275506496429443,0.48940035012245175
10,10,0.5,30,paraphrase-MiniLM-L6-v2,0.46665151138387295,0.6983333333333334,0.22539466619491577,0.4634598369707074
10,10,0.5,30,neuralmind/bert-base-portuguese-cased,0.5227644483364433,0.735,0.20981113612651825,0.48919186148765387
10,10,0.5,50,paraphrase-MiniLM-L6-v2,0.46232429173780437,0.809,0.23531895875930786,0.5022144168323708
10,10,0.5,50,neuralmind/bert-base-portuguese-cased,0.0,0.794,0.2268162965774536,0.3402720988591512
20,5,0.0,2,paraphrase-MiniLM-L6-v2,0.4285471077268389,0.8,0.16821856796741486,0.46558855856475123
20,5,0.0,2,neuralmind/bert-base-portuguese-cased,0.44542227930289474,0.875,0.685985267162323,0.668802515488406
20,5,0.0,3,paraphrase-MiniLM-L6-v2,0.43298053737761144,0.7333333333333333,0.3558949828147888,0.5074029511752446
20,5,0.0,3,neuralmind/bert-base-portuguese-cased,0.457853964178152,0.8,0.39414191246032715,0.5506652922128265
20,5,0.0,4,paraphrase-MiniLM-L6-v2,0.4498122631831374,0.7375,0.3639090061187744,0.5170737564339706
20,5,0.0,4,neuralmind/bert-base-portuguese-cased,0.47991003085870876,0.725,0.3923773765563965,0.5324291358050351
20,5,0.0,5,paraphrase-MiniLM-L6-v2,0.4151232588453103,0.59,0.3572619557380676,0.454128404861126
20,5,0.0,5,neuralmind/bert-base-portuguese-cased,0.5015880855158372,0.77,0.38832759857177734,0.5533052280292049
20,5,0.0,10,paraphrase-MiniLM-L6-v2,0.4637279556437611,0.525,0.25601086020469666,0.4149129386161526
20,5,0.0,10,neuralmind/bert-base-portuguese-cased,0.553925709873986,0.735,0.22831006348133087,0.5057452577851057
20,5,0.0,20,paraphrase-MiniLM-L6-v2,0.4459040406573086,0.5775,0.29836371541023254,0.4405892520225137
20,5,0.0,20,neuralmind/bert-base-portuguese-cased,0.5321545794742212,0.695,0.2740101218223572,0.5003882337655261
20,5,0.0,30,paraphrase-MiniLM-L6-v2,0.46764172060368214,0.675,0.25178372859954834,0.4648084830677435
20,5,0.0,30,neuralmind/bert-base-portuguese-cased,0.5101478252292402,0.7683333333333333,0.2576752305030823,0.512052129688552
20,5,0.0,50,paraphrase-MiniLM-L6-v2,0.4756500387999911,0.801,0.25818872451782227,0.5116129211059378
20,5,0.0,50,neuralmind/bert-base-portuguese-cased,0.0,0.808,0.21088393032550812,0.33962797677516937
20,5,0.1,2,paraphrase-MiniLM-L6-v2,0.4166863039922732,0.775,0.20289157330989838,0.46485929243405716
20,5,0.1,2,neuralmind/bert-base-portuguese-cased,0.44542227930289474,0.875,0.6591366529464722,0.6598529774164557
20,5,0.1,3,paraphrase-MiniLM-L6-v2,0.43298053737761144,0.7333333333333333,0.38346508145332336,0.5165929840547561
20,5,0.1,3,neuralmind/bert-base-portuguese-cased,0.5014965414444027,0.75,0.3469848334789276,0.5328271249744434
20,5,0.1,4,paraphrase-MiniLM-L6-v2,0.4230174815516767,0.6,0.37958937883377075,0.46753562012848243
20,5,0.1,4,neuralmind/bert-base-portuguese-cased,0.5183522861401566,0.75,0.28816619515419006,0.5188394937647822
20,5,0.1,5,paraphrase-MiniLM-L6-v2,0.451650216710085,0.57,0.33903181552886963,0.45356067741298484
20,5,0.1,5,neuralmind/bert-base-portuguese-cased,0.49070160437369414,0.78,0.3654680848121643,0.5453898963952861
20,5,0.1,10,paraphrase-MiniLM-L6-v2,0.4753629659349186,0.535,0.24137833714485168,0.41724710102659013
20,5,0.1,10,neuralmind/bert-base-portuguese-cased,0.5414161458415485,0.715,0.2684077322483063,0.5082746260299515
20,5,0.1,20,paraphrase-MiniLM-L6-v2,0.44399513148391456,0.5875,0.24878928065299988,0.4267614707123048
20,5,0.1,20,neuralmind/bert-base-portuguese-cased,0.4909817420026541,0.705,0.2309284210205078,0.47563672100772064
20,5,0.1,30,paraphrase-MiniLM-L6-v2,0.463309957994617,0.68,0.27409055829048157,0.47246683876169954
20,5,0.1,30,neuralmind/bert-base-portuguese-cased,0.5169534086089912,0.7466666666666667,0.2685174345970154,0.5107125032908911
20,5,0.1,50,paraphrase-MiniLM-L6-v2,0.47276171554640506,0.803,0.23270611464977264,0.5028226100653926
20,5,0.1,50,neuralmind/bert-base-portuguese-cased,0.0,0.805,0.20891329646110535,0.3379710988203685
20,5,0.5,2,paraphrase-MiniLM-L6-v2,0.4166863039922732,0.775,0.21987654268741608,0.47052094889322976
20,5,0.5,2,neuralmind/bert-base-portuguese-cased,0.4468461870606092,0.875,0.5608938336372375,0.6275800068992822
20,5,0.5,3,paraphrase-MiniLM-L6-v2,0.40583534146557465,0.7166666666666667,0.33180955052375793,0.4847705195519998
20,5,0.5,3,neuralmind/bert-base-portuguese-cased,0.4764204827228549,0.7666666666666667,0.333798885345459,0.5256286782449936
20,5,0.5,4,paraphrase-MiniLM-L6-v2,0.43006259295931165,0.6125,0.34230053424835205,0.4616210424025546
20,5,0.5,4,neuralmind/bert-base-portuguese-cased,0.4801683092753839,0.7,0.27061954140663147,0.4835959502273384
20,5,0.5,5,paraphrase-MiniLM-L6-v2,0.4431846031387037,0.56,0.2662659287452698,0.4231501772946578
20,5,0.5,5,neuralmind/bert-base-portuguese-cased,0.4971328875433194,0.76,0.28771963715553284,0.5149508415662841
20,5,0.5,10,paraphrase-MiniLM-L6-v2,0.45399655121809585,0.52,0.2344444990158081,0.40281368341130136
20,5,0.5,10,neuralmind/bert-base-portuguese-cased,0.5142074581960152,0.685,0.20961782336235046,0.4696084271861219
20,5,0.5,20,paraphrase-MiniLM-L6-v2,0.4555171722066314,0.56,0.17803308367729187,0.3978500852946411
20,5,0.5,20,neuralmind/bert-base-portuguese-cased,0.5647507044237393,0.7175,0.20071357488632202,0.4943214264366871
20,5,0.5,30,paraphrase-MiniLM-L6-v2,0.4506255918608499,0.6666666666666666,0.18121600151062012,0.43283608667937884
20,5,0.5,30,neuralmind/bert-base-portuguese-cased,0.5076281270832212,0.6983333333333334,0.15840889513492584,0.4547901185171601
20,5,0.5,50,paraphrase-MiniLM-L6-v2,0.45612552239129933,0.79,0.14566174149513245,0.4639290879621439
20,5,0.5,50,neuralmind/bert-base-portuguese-cased,0.0,0.769,0.1375705748796463,0.30219019162654875
20,10,0.0,2,paraphrase-MiniLM-L6-v2,0.42854710772683896,0.8,0.15602906048297882,0.46152538940327265
20,10,0.0,2,neuralmind/bert-base-portuguese-cased,0.44542227930289474,0.875,0.6874669194221497,0.6692963995750149
20,10,0.0,3,paraphrase-MiniLM-L6-v2,0.43298053737761144,0.7333333333333333,0.3565899431705475,0.5076346046271641
20,10,0.0,3,neuralmind/bert-base-portuguese-cased,0.5003558822303442,0.7666666666666667,0.34884899854660034,0.5386238491478704
20,10,0.0,4,paraphrase-MiniLM-L6-v2,0.4241186531885285,0.6125,0.3769766688346863,0.4711984406744049
20,10,0.0,4,neuralmind/bert-base-portuguese-cased,0.47991003085870876,0.725,0.3846244215965271,0.5298448174850786
20,10,0.0,5,paraphrase-MiniLM-L6-v2,0.44687082094183966,0.54,0.3032608926296234,0.4300439045238211
20,10,0.0,5,neuralmind/bert-base-portuguese-cased,0.5015880855158372,0.77,0.3831675052642822,0.5515851969267065
20,10,0.0,10,paraphrase-MiniLM-L6-v2,0.4454900046415968,0.55,0.3199777603149414,0.4384892549855128
20,10,0.0,10,neuralmind/bert-base-portuguese-cased,0.5512940416950833,0.73,0.24954241514205933,0.5102788189457143
20,10,0.0,20,paraphrase-MiniLM-L6-v2,0.47308757213218877,0.5975,0.18940402567386627,0.41999719926868506
20,10,0.0,20,neuralmind/bert-base-portuguese-cased,0.5343414736611366,0.6925,0.29023855924606323,0.5056933443024
20,10,0.0,30,paraphrase-MiniLM-L6-v2,0.46317865706599765,0.71,0.25980010628700256,0.47765958778433343
20,10,0.0,30,neuralmind/bert-base-portuguese-cased,0.5115882654754002,0.7583333333333333,0.24071095883846283,0.5035441858823987
20,10,0.0,50,paraphrase-MiniLM-L6-v2,0.4391278250006467,0.808,0.2491597831249237,0.49876253604185683
20,10,0.0,50,neuralmind/bert-base-portuguese-cased,0.532257071115826,0.819,0.21755561232566833,0.5229375611471648
20,10,0.1,2,paraphrase-MiniLM-L6-v2,0.41668630399227324,0.775,0.18728482723236084,0.45965704374154476
20,10,0.1,2,neuralmind/bert-base-portuguese-cased,0.4454222793028948,0.875,0.6568860411643982,0.6591027734890976
20,10,0.1,3,paraphrase-MiniLM-L6-v2,0.43373288055563947,0.7333333333333333,0.37310904264450073,0.5133917521778245
20,10,0.1,3,neuralmind/bert-base-portuguese-cased,0.5014965414444027,0.75,0.3439446985721588,0.5318137466721872
20,10,0.1,4,paraphrase-MiniLM-L6-v2,0.4322614151457814,0.625,0.3672550320625305,0.4748388157361039
20,10,0.1,4,neuralmind/bert-base-portuguese-cased,0.4830837448470784,0.75,0.38964682817459106,0.5409101910072232
20,10,0.1,5,paraphrase-MiniLM-L6-v2,0.43100681943040053,0.68,0.3681442141532898,0.4930503445278968
20,10,0.1,5,neuralmind/bert-base-portuguese-cased,0.48576529560692416,0.77,0.3702034056186676,0.5419895670751972
20,10,0.1,10,paraphrase-MiniLM-L6-v2,0.45726241611030904,0.53,0.2635946571826935,0.4169523577643342
20,10,0.1,10,neuralmind/bert-base-portuguese-cased,0.5046900030920496,0.715,0.25306469202041626,0.49091823170415533
20,10,0.1,20,paraphrase-MiniLM-L6-v2,0.4548657914097342,0.585,0.21293090283870697,0.41759889808281375
20,10,0.1,20,neuralmind/bert-base-portuguese-cased,0.5218304969126298,0.715,0.23499692976474762,0.4906091422257925
20,10,0.1,30,paraphrase-MiniLM-L6-v2,0.455444954201562,0.6816666666666666,0.19826310873031616,0.4451249098661816
20,10,0.1,30,neuralmind/bert-base-portuguese-cased,0.5356791923681798,0.755,0.25070133805274963,0.5137935101403098
20,10,0.1,50,paraphrase-MiniLM-L6-v2,0.4388113697988446,0.805,0.2535155713558197,0.4991089803848881
20,10,0.1,50,neuralmind/bert-base-portuguese-cased,0.5652138847077623,0.797,0.2077919989824295,0.5233352945633972
20,10,0.5,2,paraphrase-MiniLM-L6-v2,0.41668630399227324,0.775,0.22556395828723907,0.4724167540931708
20,10,0.5,2,neuralmind/bert-base-portuguese-cased,0.4468461870606092,0.875,0.5583603382110596,0.6267355084238896
20,10,0.5,3,paraphrase-MiniLM-L6-v2,0.43564296655717527,0.7166666666666667,0.3607883155345917,0.5043659829194779
20,10,0.5,3,neuralmind/bert-base-portuguese-cased,0.48448130597537004,0.7833333333333333,0.31029102206230164,0.5260352204570017
20,10,0.5,4,paraphrase-MiniLM-L6-v2,0.44566880099241835,0.625,0.3393523693084717,0.47000705676696336
20,10,0.5,4,neuralmind/bert-base-portuguese-cased,0.494990139079557,0.7,0.2573217451572418,0.48410396141226625
20,10,0.5,5,paraphrase-MiniLM-L6-v2,0.44440873145754917,0.64,0.31877294182777405,0.4677272244284411
20,10,0.5,5,neuralmind/bert-base-portuguese-cased,0.49386264720453765,0.77,0.3157264292240143,0.5265296921428506
20,10,0.5,10,paraphrase-MiniLM-L6-v2,0.4496175145012698,0.52,0.2648119628429413,0.41147649244807033
20,10,0.5,10,neuralmind/bert-base-portuguese-cased,0.5371698333043277,0.68,0.2210763394832611,0.4794153909291963
20,10,0.5,20,paraphrase-MiniLM-L6-v2,0.46930626523508456,0.53,0.22650451958179474,0.40860359493895976
20,10,0.5,20,neuralmind/bert-base-portuguese-cased,0.5490005422370893,0.67,0.21829986572265625,0.47910013598658185
20,10,0.5,30,paraphrase-MiniLM-L6-v2,0.46083296843871757,0.6916666666666667,0.22861453890800476,0.4603713913377963
20,10,0.5,30,neuralmind/bert-base-portuguese-cased,0.5055749819402501,0.7483333333333333,0.2015785425901413,0.48516228595457483
20,10,0.5,50,paraphrase-MiniLM-L6-v2,0.4528148231814663,0.799,0.24312284588813782,0.4983125563565347
20,10,0.5,50,neuralmind/bert-base-portuguese-cased,0.0,0.792,0.18607188761234283,0.32602396253744764
